action_id,feature_id,action_type,owner,effort_hours,expected_research_value,note
ACT077,FEAT013,repair,Research,35,70000,Fix curation issue before using in model training.
ACT078,FEAT014,quarantine,Feature engineering,13,160000,Block from training data until point-in-time defect is resolved.
ACT079,FEAT015,watch,Data operations,21,80000,Keep in candidate set but require another validation window.
ACT080,FEAT016,quarantine,ML platform,36,150000,Block from training data until point-in-time defect is resolved.
ACT081,FEAT001,promote,Research,32,130000,Package for next research review with monitoring guardrails.
ACT082,FEAT002,promote,Feature engineering,6,90000,Package for next research review with monitoring guardrails.
ACT083,FEAT003,watch,Data operations,15,80000,Keep in candidate set but require another validation window.
ACT084,FEAT004,repair,ML platform,22,90000,Fix curation issue before using in model training.
ACT085,FEAT005,retire,Research,21,160000,Remove from active queue unless a stronger economic thesis appears.
ACT086,FEAT006,retire,Feature engineering,4,60000,Remove from active queue unless a stronger economic thesis appears.
ACT087,FEAT007,quarantine,Data operations,36,70000,Block from training data until point-in-time defect is resolved.
ACT088,FEAT008,quarantine,ML platform,16,140000,Block from training data until point-in-time defect is resolved.
ACT089,FEAT009,promote,Research,30,50000,Package for next research review with monitoring guardrails.
ACT090,FEAT010,quarantine,Feature engineering,11,150000,Block from training data until point-in-time defect is resolved.
ACT091,FEAT011,repair,Data operations,8,150000,Fix curation issue before using in model training.
ACT092,FEAT012,retire,ML platform,37,50000,Remove from active queue unless a stronger economic thesis appears.
ACT093,FEAT013,watch,Research,13,110000,Keep in candidate set but require another validation window.
ACT094,FEAT014,promote,Feature engineering,8,150000,Package for next research review with monitoring guardrails.
ACT095,FEAT015,watch,Data operations,20,60000,Keep in candidate set but require another validation window.
ACT096,FEAT016,retire,ML platform,13,90000,Remove from active queue unless a stronger economic thesis appears.
