event_id,event_date,feature_id,event_type,severity,estimated_research_hours_at_risk,root_cause
EV0122,2026-02-27,FEAT008,restatement,high,1.6,historical value changed after first availability
EV0123,2026-02-26,FEAT016,schema_shift,medium,2.7,new categorical value appeared without contract update
EV0124,2025-10-07,FEAT013,missing_spike,critical,3.0,source collection coverage dropped by peer group
EV0125,2025-10-07,FEAT009,late_delivery,medium,1.7,vendor latency exceeded training cutoff
EV0126,2026-02-10,FEAT009,restatement,low,2.6,historical value changed after first availability
EV0127,2026-01-07,FEAT005,missing_spike,medium,4.6,source collection coverage dropped by peer group
EV0128,2026-01-09,FEAT006,duplicate_records,high,7.1,publisher resend created duplicate observations
EV0129,2025-12-02,FEAT013,research_question,low,2.2,researcher asked whether signal survives stricter validation
EV0130,2025-12-17,FEAT005,restatement,medium,0.9,historical value changed after first availability
EV0131,2025-12-03,FEAT003,late_delivery,medium,5.1,vendor latency exceeded training cutoff
EV0132,2025-12-24,FEAT008,late_delivery,low,1.2,vendor latency exceeded training cutoff
EV0133,2025-11-18,FEAT004,duplicate_records,high,5.0,publisher resend created duplicate observations
EV0134,2026-01-12,FEAT001,missing_spike,low,1.9,source collection coverage dropped by peer group
EV0135,2025-10-16,FEAT016,duplicate_records,medium,1.9,publisher resend created duplicate observations
EV0136,2025-11-19,FEAT003,restatement,critical,3.5,historical value changed after first availability
EV0137,2025-12-17,FEAT003,late_delivery,medium,2.6,vendor latency exceeded training cutoff
EV0138,2026-01-28,FEAT013,schema_shift,critical,4.1,new categorical value appeared without contract update
EV0139,2025-11-21,FEAT016,missing_spike,high,4.9,source collection coverage dropped by peer group
EV0140,2026-02-06,FEAT015,missing_spike,high,1.7,source collection coverage dropped by peer group
EV0141,2025-10-15,FEAT011,schema_shift,high,3.9,new categorical value appeared without contract update
EV0142,2026-02-06,FEAT015,schema_shift,high,2.3,new categorical value appeared without contract update
EV0143,2025-10-24,FEAT009,late_delivery,high,6.9,vendor latency exceeded training cutoff
EV0144,2025-10-10,FEAT009,restatement,low,1.7,historical value changed after first availability
EV0145,2025-12-15,FEAT001,restatement,low,1.3,historical value changed after first availability
EV0146,2025-12-22,FEAT013,late_delivery,medium,4.1,vendor latency exceeded training cutoff
EV0147,2025-12-09,FEAT011,missing_spike,high,8.1,source collection coverage dropped by peer group
EV0148,2025-11-21,FEAT002,late_delivery,medium,3.6,vendor latency exceeded training cutoff
EV0149,2025-10-15,FEAT011,duplicate_records,high,2.0,publisher resend created duplicate observations
EV0150,2026-01-29,FEAT007,schema_shift,low,1.1,new categorical value appeared without contract update
EV0151,2025-11-26,FEAT012,duplicate_records,low,2.2,publisher resend created duplicate observations
EV0152,2026-01-01,FEAT005,schema_shift,medium,4.7,new categorical value appeared without contract update
EV0153,2025-12-19,FEAT008,late_delivery,low,0.9,vendor latency exceeded training cutoff
EV0154,2026-02-02,FEAT011,late_delivery,medium,5.8,vendor latency exceeded training cutoff
EV0155,2026-02-04,FEAT009,research_question,low,0.4,researcher asked whether signal survives stricter validation
EV0156,2025-10-03,FEAT004,duplicate_records,low,3.1,publisher resend created duplicate observations
EV0157,2025-12-04,FEAT007,research_question,critical,1.6,researcher asked whether signal survives stricter validation
EV0158,2025-12-19,FEAT016,research_question,low,1.1,researcher asked whether signal survives stricter validation
EV0159,2026-02-03,FEAT006,missing_spike,medium,3.2,source collection coverage dropped by peer group
EV0160,2026-02-27,FEAT009,duplicate_records,low,1.0,publisher resend created duplicate observations
EV0161,2025-12-05,FEAT005,research_question,low,1.2,researcher asked whether signal survives stricter validation
EV0162,2025-11-20,FEAT008,research_question,medium,3.1,researcher asked whether signal survives stricter validation
EV0163,2025-12-02,FEAT007,restatement,low,3.0,historical value changed after first availability
EV0164,2026-02-09,FEAT010,research_question,critical,9.2,researcher asked whether signal survives stricter validation
EV0165,2025-10-01,FEAT004,schema_shift,high,1.5,new categorical value appeared without contract update
EV0166,2025-11-21,FEAT015,duplicate_records,medium,3.6,publisher resend created duplicate observations
EV0167,2026-02-12,FEAT015,duplicate_records,medium,5.0,publisher resend created duplicate observations
EV0168,2025-10-02,FEAT010,missing_spike,medium,3.4,source collection coverage dropped by peer group
EV0169,2025-12-09,FEAT009,schema_shift,high,5.3,new categorical value appeared without contract update
EV0170,2026-01-20,FEAT010,restatement,medium,2.1,historical value changed after first availability
EV0171,2025-12-04,FEAT008,missing_spike,critical,6.1,source collection coverage dropped by peer group
EV0172,2026-02-17,FEAT004,duplicate_records,high,5.5,publisher resend created duplicate observations
EV0173,2026-01-01,FEAT014,late_delivery,low,1.2,vendor latency exceeded training cutoff
EV0174,2026-02-27,FEAT007,duplicate_records,high,3.2,publisher resend created duplicate observations
EV0175,2026-02-13,FEAT011,research_question,low,0.4,researcher asked whether signal survives stricter validation
EV0176,2026-02-20,FEAT008,missing_spike,medium,5.5,source collection coverage dropped by peer group
EV0177,2026-02-23,FEAT001,duplicate_records,high,6.9,publisher resend created duplicate observations
EV0178,2026-01-27,FEAT009,missing_spike,low,2.3,source collection coverage dropped by peer group
EV0179,2025-11-17,FEAT003,missing_spike,critical,4.2,source collection coverage dropped by peer group
EV0180,2025-11-05,FEAT012,duplicate_records,low,2.7,publisher resend created duplicate observations
EV0181,2025-10-23,FEAT013,missing_spike,high,3.0,source collection coverage dropped by peer group
EV0182,2026-02-04,FEAT003,late_delivery,low,0.7,vendor latency exceeded training cutoff
EV0183,2025-10-06,FEAT013,restatement,medium,0.7,historical value changed after first availability
EV0184,2026-01-30,FEAT010,research_question,high,5.4,researcher asked whether signal survives stricter validation
EV0185,2026-01-30,FEAT003,duplicate_records,low,0.7,publisher resend created duplicate observations
EV0186,2026-02-11,FEAT002,research_question,critical,12.1,researcher asked whether signal survives stricter validation
EV0187,2026-01-26,FEAT004,schema_shift,medium,0.9,new categorical value appeared without contract update
EV0188,2025-11-26,FEAT010,late_delivery,low,2.3,vendor latency exceeded training cutoff
EV0189,2026-02-26,FEAT001,restatement,low,2.9,historical value changed after first availability
EV0190,2026-01-07,FEAT012,restatement,critical,6.9,historical value changed after first availability
EV0191,2026-01-26,FEAT008,restatement,high,5.3,historical value changed after first availability
EV0192,2025-11-07,FEAT009,duplicate_records,high,3.3,publisher resend created duplicate observations
EV0193,2026-02-27,FEAT004,late_delivery,high,6.5,vendor latency exceeded training cutoff
EV0194,2025-10-28,FEAT004,missing_spike,medium,5.7,source collection coverage dropped by peer group
EV0195,2025-12-17,FEAT004,duplicate_records,high,6.4,publisher resend created duplicate observations
EV0196,2026-01-30,FEAT007,missing_spike,medium,5.3,source collection coverage dropped by peer group
EV0197,2025-12-22,FEAT014,late_delivery,low,2.8,vendor latency exceeded training cutoff
EV0198,2025-10-01,FEAT013,schema_shift,medium,0.8,new categorical value appeared without contract update
EV0199,2025-10-23,FEAT001,research_question,high,6.0,researcher asked whether signal survives stricter validation
EV0200,2025-10-17,FEAT016,research_question,critical,2.5,researcher asked whether signal survives stricter validation
EV0201,2025-11-07,FEAT013,research_question,high,2.4,researcher asked whether signal survives stricter validation
EV0202,2025-11-07,FEAT001,duplicate_records,medium,5.8,publisher resend created duplicate observations
EV0203,2025-11-04,FEAT008,duplicate_records,low,2.9,publisher resend created duplicate observations
EV0204,2025-11-26,FEAT002,late_delivery,high,7.9,vendor latency exceeded training cutoff
EV0205,2025-10-16,FEAT008,schema_shift,medium,3.2,new categorical value appeared without contract update
EV0206,2025-11-25,FEAT004,research_question,low,2.4,researcher asked whether signal survives stricter validation
EV0207,2025-12-12,FEAT003,duplicate_records,medium,4.8,publisher resend created duplicate observations
EV0208,2025-12-15,FEAT015,late_delivery,medium,4.6,vendor latency exceeded training cutoff
EV0209,2026-02-09,FEAT005,research_question,low,1.1,researcher asked whether signal survives stricter validation
EV0210,2025-11-27,FEAT009,research_question,medium,3.1,researcher asked whether signal survives stricter validation
EV0211,2025-12-12,FEAT006,missing_spike,high,2.1,source collection coverage dropped by peer group
EV0212,2025-11-19,FEAT003,schema_shift,medium,4.3,new categorical value appeared without contract update
EV0213,2026-02-13,FEAT006,missing_spike,high,4.0,source collection coverage dropped by peer group
EV0214,2025-12-01,FEAT004,missing_spike,low,1.1,source collection coverage dropped by peer group
EV0215,2025-10-27,FEAT010,research_question,medium,1.8,researcher asked whether signal survives stricter validation
EV0216,2025-10-08,FEAT008,late_delivery,high,7.7,vendor latency exceeded training cutoff
EV0217,2026-01-08,FEAT015,missing_spike,critical,9.7,source collection coverage dropped by peer group
EV0218,2026-02-06,FEAT007,schema_shift,low,2.8,new categorical value appeared without contract update
EV0219,2026-02-16,FEAT003,research_question,low,0.7,researcher asked whether signal survives stricter validation
EV0220,2026-02-17,FEAT015,duplicate_records,medium,1.9,publisher resend created duplicate observations
EV0221,2026-02-17,FEAT005,restatement,medium,4.5,historical value changed after first availability
EV0222,2025-10-21,FEAT008,schema_shift,medium,2.0,new categorical value appeared without contract update
EV0223,2025-12-01,FEAT004,missing_spike,medium,5.6,source collection coverage dropped by peer group
EV0224,2025-10-09,FEAT003,duplicate_records,critical,8.4,publisher resend created duplicate observations
EV0225,2025-11-20,FEAT015,missing_spike,high,1.9,source collection coverage dropped by peer group
EV0226,2025-10-31,FEAT002,restatement,critical,2.9,historical value changed after first availability
EV0227,2025-12-08,FEAT010,research_question,medium,2.6,researcher asked whether signal survives stricter validation
EV0228,2025-10-03,FEAT004,duplicate_records,medium,2.8,publisher resend created duplicate observations
EV0229,2025-11-20,FEAT014,duplicate_records,medium,2.5,publisher resend created duplicate observations
EV0230,2025-10-07,FEAT004,restatement,high,8.6,historical value changed after first availability
EV0231,2025-12-31,FEAT002,duplicate_records,medium,5.2,publisher resend created duplicate observations
EV0232,2026-01-20,FEAT007,research_question,medium,5.3,researcher asked whether signal survives stricter validation
EV0233,2025-11-20,FEAT002,schema_shift,medium,1.7,new categorical value appeared without contract update
EV0234,2026-02-20,FEAT009,restatement,medium,2.5,historical value changed after first availability
EV0235,2025-12-15,FEAT008,research_question,low,1.5,researcher asked whether signal survives stricter validation
EV0236,2025-12-08,FEAT001,schema_shift,high,5.6,new categorical value appeared without contract update
EV0237,2026-01-13,FEAT008,missing_spike,medium,4.0,source collection coverage dropped by peer group
EV0238,2025-10-28,FEAT008,schema_shift,medium,0.9,new categorical value appeared without contract update
EV0239,2025-11-13,FEAT007,research_question,medium,4.9,researcher asked whether signal survives stricter validation
EV0240,2025-11-11,FEAT012,research_question,high,4.9,researcher asked whether signal survives stricter validation
EV0241,2026-02-09,FEAT013,research_question,low,0.4,researcher asked whether signal survives stricter validation
EV0242,2025-11-04,FEAT004,missing_spike,low,1.9,source collection coverage dropped by peer group
EV0243,2026-01-06,FEAT004,late_delivery,high,7.2,vendor latency exceeded training cutoff
EV0244,2026-01-21,FEAT014,missing_spike,high,4.4,source collection coverage dropped by peer group
EV0245,2025-10-14,FEAT004,research_question,medium,2.7,researcher asked whether signal survives stricter validation
EV0246,2025-12-16,FEAT016,duplicate_records,low,2.2,publisher resend created duplicate observations
EV0247,2025-10-22,FEAT008,schema_shift,medium,3.1,new categorical value appeared without contract update
EV0248,2026-02-04,FEAT003,restatement,medium,5.6,historical value changed after first availability
EV0249,2026-01-30,FEAT007,late_delivery,medium,1.2,vendor latency exceeded training cutoff
EV0250,2026-01-30,FEAT007,schema_shift,high,2.8,new categorical value appeared without contract update
EV0251,2025-10-02,FEAT001,research_question,medium,1.5,researcher asked whether signal survives stricter validation
EV0252,2025-10-21,FEAT012,restatement,low,0.5,historical value changed after first availability
EV0253,2025-10-23,FEAT012,schema_shift,medium,3.0,new categorical value appeared without contract update
EV0254,2025-12-23,FEAT004,missing_spike,high,4.6,source collection coverage dropped by peer group
EV0255,2025-10-01,FEAT013,restatement,medium,1.7,historical value changed after first availability
EV0256,2026-01-05,FEAT007,missing_spike,medium,2.3,source collection coverage dropped by peer group
EV0257,2026-01-05,FEAT012,schema_shift,high,2.8,new categorical value appeared without contract update
EV0258,2026-01-02,FEAT012,missing_spike,critical,5.0,source collection coverage dropped by peer group
EV0259,2026-02-26,FEAT005,missing_spike,low,0.4,source collection coverage dropped by peer group
EV0260,2025-12-25,FEAT016,missing_spike,low,1.0,source collection coverage dropped by peer group
EV0261,2025-12-04,FEAT015,research_question,low,0.8,researcher asked whether signal survives stricter validation
EV0262,2025-10-22,FEAT015,restatement,medium,1.1,historical value changed after first availability
EV0263,2025-10-23,FEAT005,missing_spike,low,0.8,source collection coverage dropped by peer group
EV0264,2025-12-17,FEAT007,research_question,low,0.9,researcher asked whether signal survives stricter validation
EV0265,2026-02-13,FEAT008,research_question,low,2.9,researcher asked whether signal survives stricter validation
EV0266,2025-11-28,FEAT016,duplicate_records,high,8.2,publisher resend created duplicate observations
EV0267,2025-11-07,FEAT001,research_question,medium,4.6,researcher asked whether signal survives stricter validation
EV0268,2025-10-01,FEAT011,restatement,critical,7.0,historical value changed after first availability
EV0269,2025-11-20,FEAT003,duplicate_records,high,2.9,publisher resend created duplicate observations
EV0270,2025-10-30,FEAT015,schema_shift,high,1.1,new categorical value appeared without contract update
EV0271,2025-12-11,FEAT001,schema_shift,low,2.8,new categorical value appeared without contract update
EV0272,2025-12-30,FEAT011,duplicate_records,medium,3.4,publisher resend created duplicate observations
EV0273,2026-02-18,FEAT015,missing_spike,high,7.3,source collection coverage dropped by peer group
EV0274,2025-10-21,FEAT006,schema_shift,medium,1.6,new categorical value appeared without contract update
EV0275,2025-11-11,FEAT001,late_delivery,medium,1.4,vendor latency exceeded training cutoff
EV0276,2025-10-17,FEAT001,restatement,critical,3.2,historical value changed after first availability
EV0277,2025-11-14,FEAT014,missing_spike,low,2.1,source collection coverage dropped by peer group
EV0278,2026-02-11,FEAT015,schema_shift,high,5.4,new categorical value appeared without contract update
EV0279,2025-11-10,FEAT013,schema_shift,low,2.6,new categorical value appeared without contract update
EV0280,2025-11-17,FEAT012,schema_shift,critical,7.0,new categorical value appeared without contract update
EV0281,2026-02-24,FEAT008,duplicate_records,low,0.6,publisher resend created duplicate observations
EV0282,2025-11-20,FEAT002,duplicate_records,low,2.8,publisher resend created duplicate observations
EV0283,2025-10-03,FEAT011,duplicate_records,critical,5.0,publisher resend created duplicate observations
EV0284,2025-11-19,FEAT013,restatement,medium,4.3,historical value changed after first availability
EV0285,2025-12-11,FEAT009,restatement,high,6.3,historical value changed after first availability
EV0286,2025-12-19,FEAT016,late_delivery,critical,3.2,vendor latency exceeded training cutoff
EV0287,2026-01-26,FEAT011,duplicate_records,high,3.6,publisher resend created duplicate observations
EV0288,2026-02-24,FEAT012,research_question,critical,12.1,researcher asked whether signal survives stricter validation
EV0289,2025-12-16,FEAT009,research_question,medium,3.2,researcher asked whether signal survives stricter validation
EV0290,2025-10-10,FEAT006,research_question,high,4.7,researcher asked whether signal survives stricter validation
EV0291,2025-12-30,FEAT001,late_delivery,critical,2.3,vendor latency exceeded training cutoff
EV0292,2025-11-28,FEAT009,research_question,medium,5.8,researcher asked whether signal survives stricter validation
EV0293,2026-01-28,FEAT002,late_delivery,low,2.7,vendor latency exceeded training cutoff
EV0294,2026-02-19,FEAT006,restatement,medium,2.9,historical value changed after first availability
EV0295,2025-11-27,FEAT005,schema_shift,high,5.4,new categorical value appeared without contract update
EV0296,2025-11-07,FEAT002,schema_shift,medium,4.1,new categorical value appeared without contract update
EV0297,2026-01-07,FEAT001,late_delivery,medium,4.6,vendor latency exceeded training cutoff
EV0298,2025-12-18,FEAT002,late_delivery,medium,5.6,vendor latency exceeded training cutoff
EV0299,2025-12-01,FEAT001,late_delivery,low,2.5,vendor latency exceeded training cutoff
EV0300,2025-11-27,FEAT013,missing_spike,low,2.3,source collection coverage dropped by peer group
EV0301,2025-10-31,FEAT004,missing_spike,low,1.1,source collection coverage dropped by peer group
EV0302,2026-02-26,FEAT009,late_delivery,medium,2.2,vendor latency exceeded training cutoff
EV0303,2026-01-01,FEAT012,late_delivery,medium,4.1,vendor latency exceeded training cutoff
EV0304,2025-12-25,FEAT005,restatement,low,2.8,historical value changed after first availability
EV0305,2025-11-10,FEAT009,research_question,high,4.5,researcher asked whether signal survives stricter validation
EV0306,2025-12-02,FEAT015,missing_spike,high,5.5,source collection coverage dropped by peer group
EV0307,2025-12-31,FEAT010,late_delivery,critical,5.7,vendor latency exceeded training cutoff
EV0308,2025-11-04,FEAT001,late_delivery,low,1.1,vendor latency exceeded training cutoff
EV0309,2025-12-26,FEAT016,duplicate_records,high,6.5,publisher resend created duplicate observations
EV0310,2026-01-21,FEAT014,late_delivery,low,2.0,vendor latency exceeded training cutoff
EV0311,2025-10-03,FEAT002,schema_shift,medium,4.8,new categorical value appeared without contract update
EV0312,2025-11-26,FEAT015,research_question,low,1.0,researcher asked whether signal survives stricter validation
EV0313,2025-11-27,FEAT004,missing_spike,low,2.9,source collection coverage dropped by peer group
EV0314,2025-10-17,FEAT011,late_delivery,high,5.3,vendor latency exceeded training cutoff
EV0315,2026-02-16,FEAT007,duplicate_records,medium,4.5,publisher resend created duplicate observations
EV0316,2025-11-07,FEAT004,research_question,low,1.6,researcher asked whether signal survives stricter validation
EV0317,2026-02-25,FEAT010,restatement,high,8.1,historical value changed after first availability
